Sports,Description,Visual,Duration (Min),Location,Number of people,Equipment,Muscle,Category
Joging,A form of trotting or running at a slow or leisurely pace and maintaining a steady speed for longer periods of time.,,20-30,Outdoor,1,No,"hamstrings, quads, calves, glutes, hip flexors, hamstrings, core muscles, calves",Lower Body
Running,"The action of rapidly propelling yourself forward on foot. When running, there is a moment when both feet are off the ground, making it a high-impact exercise.",,20-30,Outdoor,1,No,"hamstrings, quads, calves, glutes, hip flexors, hamstrings, core muscles, calves",Lower Body
Jumping Rope,A form of exercise that involves swinging a rope around your body and jumping over it as it passes under your feet.,,1-5,Indoor,1,Yes,"calf muscles, quads, hamstrings, glutes, abs, oblique muscles, forearms, biceps, triceps",Lower Body
Aerobic,A series of movements accompanied by musical rhythms with a certain duration of time associated with oxygen or using oxygen.,,15-20,Indoor,1,No,"legs, stomach, arms, cardiac, shoulders, legs, joints, abdominal muscles",Whole Body
Yoga,"A practice that connects the body, breath, and mind. It uses physical postures, breathing exercises, and meditation to improve overall health.",,20-40,Indoor,1,No,"pelvic floor, core, arms, glutes, back,legs, quadriceps, hamstrings, calves",Whole Body
Weightlifting,The sport of lifting a barbell loaded with weight plates from the ground up.,,20-45,Indoor,1,Yes,"arms, biceps, triceps, chest, shoulders, back, legs, thighs, calves,buttocks.",Whole Body
Stationary Biking,An indoor exercise machine that is pedaled like a bicycle,,30-40,Indoor,1,Yes,"legs, hip joints, knees, calf, soleus, gastrocnemius, thigh, hamstrings, quadriceps, glutes, buttocks, foot, arms, biceps, triceps, shoulders",Lower Body
Treadmill,A stationary exercise machine that features a walking or running belt designed for indoor cardio exercise.,,20-30,Indoor,1,Yes,"hamstrings, quads, calves, legs, stomach, back, buttocks, thighs, arms",Lower Body
Cycling,"Bicycling is the use of a bicycle for personal transportation, exercise, or touring and other forms of recreation.",,45-60,Outdoor,1,Yes,"legs, hip joints, knees, calf, soleus, gastrocnemius, thigh, hamstrings, quadriceps, glutes, buttocks, foot, arms, biceps, triceps, shoulders",Lower Body
Dancing,"The act of rhythmically moving the body and feet. This is usually done to music, and the dancer often follows an established pattern of steps.",,30-40,Indoor,1,No,"legs, stomach, arms, cardiac, core, abdominal muscles, pecs, traps, lats, shoulders, quads, hamstrings, calves, feet, obliques",Whole Body
